entry_threshold,exit_threshold,exit_prob_drop,min_hold_bars,max_hold_seconds,stop_loss_pct,take_profit_pct,profit_trailing_start_pct,profit_trailing_stop_pct,max_spread_bps,disable_prob_exits,trades,wins,pnl,pnl_perc,sharpe,max_drawdown,profit_factor,median_trade,avg_trade,fraction_time_in_position,skipped_spread,skipped_sizing,skipped_other,exit_reasons,coverage
0.64,0.64,0.15,1,10800,0.008,,0.005,0.0025,8,True,762,463,-0.3372249278664308,-0.013488997114657232,-0.08467389109287642,12.735644711344783,0.9917987276365666,0.030212524648547148,-0.0004425523987748424,0.48904464285714283,185,0,0,"{""profit_trailing"": 222, ""time_limit"": 444, ""stop_loss"": 96}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.012,,,,8,True,656,378,3.940849712583055,0.1576339885033222,1.0314805766283952,7.876698262799972,1.122181755828211,0.01905611021366102,0.006007392854547358,0.5158973214285715,118,0,0,"{""time_limit"": 627, ""stop_loss"": 29}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.012,,,0.0015,8,True,656,378,3.940849712583055,0.1576339885033222,1.0314805766283952,7.876698262799972,1.122181755828211,0.01905611021366102,0.006007392854547358,0.5158973214285715,118,0,0,"{""time_limit"": 627, ""stop_loss"": 29}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.012,,,0.0025,8,True,656,378,3.940849712583055,0.1576339885033222,1.0314805766283952,7.876698262799972,1.122181755828211,0.01905611021366102,0.006007392854547358,0.5158973214285715,118,0,0,"{""time_limit"": 627, ""stop_loss"": 29}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.012,,0.003,,8,True,656,378,3.940849712583055,0.1576339885033222,1.0314805766283952,7.876698262799972,1.122181755828211,0.01905611021366102,0.006007392854547358,0.5158973214285715,118,0,0,"{""time_limit"": 627, ""stop_loss"": 29}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.012,,0.003,0.0015,8,True,849,574,0.9394847697745978,0.037579390790983914,0.2515331847440609,9.478502102356234,1.0262637510019577,0.02684125407015509,0.001106578056271622,0.4552589285714286,150,0,0,"{""profit_trailing"": 474, ""time_limit"": 333, ""stop_loss"": 42}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.012,,0.003,0.0025,8,True,816,499,-0.05676041215383999,-0.0022704164861535995,-0.014976327580413451,10.80056990409461,0.998392158488099,0.0162397832234037,-6.955932861989717e-05,0.4764598214285714,149,0,0,"{""profit_trailing"": 401, ""time_limit"": 374, ""stop_loss"": 41}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.012,,0.005,,8,True,656,378,3.940849712583055,0.1576339885033222,1.0314805766283952,7.876698262799972,1.122181755828211,0.01905611021366102,0.006007392854547358,0.5158973214285715,118,0,0,"{""time_limit"": 627, ""stop_loss"": 29}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.012,,0.005,0.0015,8,True,738,457,3.766979035269182,0.1506791614107673,0.9817247516971072,9.19768236712735,1.1041959907317018,0.03483881635372328,0.00510430763586611,0.48113392857142856,143,0,0,"{""profit_trailing"": 256, ""time_limit"": 443, ""stop_loss"": 39}",0.13733482142857142
0.64,0.64,0.15,1,10800,0.012,,0.005,0.0025,8,True,722,445,3.0271100170777707,0.12108440068311083,0.787877438504785,9.629604727885255,1.0858086728944867,0.031357041601847664,0.004192673153847338,0.4915625,143,0,0,"{""profit_trailing"": 204, ""time_limit"": 480, ""stop_loss"": 38}",0.13733482142857142
